Time          ,Rotational Speed (units),Cd,Cl
5.97,5.7063,0.692173661,-0.116088332
5.98,5.7063,0.754783807,-0.254994654
5.99,3.5267,0.784439743,-0.289669503
6,0,0.751939716,-0.263709756
6.01,3.5267,0.717068437,-0.137318215
6.02,5.7063,0.704386755,0.038361275
6.03,5.7063,0.717056732,0.189253926
6.04,3.5267,0.736415232,0.259872448
6.05,0,0.700814429,0.253325956
6.06,3.5267,0.663257204,0.104642718
6.07,5.7063,0.692173644,-0.11608842
6.08,5.7063,0.754783773,-0.254994724
6.09,3.5267,0.784439692,-0.289669551
6.1,0,0.751939677,-0.263709788
6.11,3.5267,0.717068412,-0.137318243
6.12,5.7063,0.704386743,0.038361233
6.13,5.7063,0.717056706,0.189253956
6.14,3.5267,0.736415211,0.259872523
6.15,0,0.700814399,0.253326043
6.16,3.5267,0.663257171,0.104642801
6.17,5.7063,0.692173626,-0.116088322
6.18,5.7063,0.754783767,-0.254994618
6.19,3.5267,0.784439697,-0.289669426
6.2,0,0.751939685,-0.263709661
6.21,3.5267,0.717068421,-0.137318118
6.22,5.7063,0.70438673,0.038361315
6.23,5.7063,0.71705668,0.189254023
6.24,3.5267,0.736415157,0.259872562
6.25,0,0.700814362,0.253326102
6.26,3.5267,0.663257141,0.104642858
6.27,5.7063,0.692173609,-0.116088295
6.28,5.7063,0.754783756,-0.254994602
6.29,3.5267,0.784439693,-0.289669422
6.3,0,0.751939671,-0.263709668
6.31,3.5267,0.717068407,-0.137318127
6.32,5.7063,0.704386709,0.038361316
6.33,5.7063,0.717056673,0.189253971
6.34,3.5267,0.736415144,0.259872472
6.35,0,0.700814358,0.253326017
6.36,3.5267,0.66325714,0.104642785
6.37,5.7063,0.692173599,-0.116088364
6.38,5.7063,0.754783735,-0.25499467
6.39,3.5267,0.784439663,-0.289669492
6.4,0,0.751939641,-0.263709735
6.41,3.5267,0.717068383,-0.137318192
6.42,5.7063,0.704386698,0.038361265
6.43,5.7063,0.717056666,0.189253936
6.44,3.5267,0.736415147,0.259872451
6.45,0,0.700814356,0.253325998
6.46,3.5267,0.663257135,0.10464277
6.47,5.7063,0.692173591,-0.116088358
6.48,5.7063,0.754783727,-0.254994656
6.49,3.5267,0.784439653,-0.289669464
6.5,0,0.751939636,-0.263709701
6.51,3.5267,0.717068382,-0.137318158
6.52,5.7063,0.704386694,0.038361281
6.53,5.7063,0.717056652,0.189253972
6.54,3.5267,0.736415126,0.259872494
6.55,0,0.700814337,0.25332605
6.56,3.5267,0.663257117,0.104642818
6.57,5.7063,0.692173583,-0.116088315
6.58,5.7063,0.754783725,-0.254994615
6.59,3.5267,0.784439657,-0.289669422
6.6,0,0.751939637,-0.263709663
6.61,3.5267,0.717068383,-0.137318121
6.62,5.7063,0.704386685,0.038361308
6.63,5.7063,0.717056644,0.189253977
6.64,3.5267,0.736415108,0.259872478
6.65,0,0.700814327,0.25332604
6.66,3.5267,0.66325711,0.104642811
6.67,5.7063,0.692173577,-0.116088331
6.68,5.7063,0.754783716,-0.254994635
6.69,3.5267,0.784439648,-0.289669447
6.7,0,0.751939625,-0.263709691
6.71,3.5267,0.717068372,-0.137318148
6.72,5.7063,0.704386677,0.03836129
6.73,5.7063,0.717056642,0.189253948
6.74,3.5267,0.736415109,0.259872443
6.75,0,0.700814328,0.253326006
6.76,3.5267,0.66325711,0.104642782
6.77,5.7063,0.692173573,-0.116088352
6.78,5.7063,0.754783709,-0.254994652
6.79,3.5267,0.784439637,-0.289669462
6.8,0,0.751939616,-0.263709702
6.81,3.5267,0.717068366,-0.137318159
6.82,5.7063,0.704386674,0.038361278
6.83,5.7063,0.717056637,0.18925395
6.84,3.5267,0.736415106,0.259872454
6.85,0,0.700814323,0.253326019
6.86,3.5267,0.663257104,0.104642795
6.87,5.7063,0.692173569,-0.116088335
6.88,5.7063,0.754783707,-0.254994633
6.89,3.5267,0.784439637,-0.289669438
6.9,0,0.751939617,-0.263709677
6.91,3.5267,0.717068368,-0.137318134
6.92,5.7063,0.704386672,0.038361294
6.93,5.7063,0.717056631,0.189253965
6.94,3.5267,0.736415095,0.259872464
6.95,0,0.700814315,0.253326034
6.96,3.5267,0.663257098,0.104642808
6.97,5.7063,0.692173566,-0.116088327
6.98,5.7063,0.754783705,-0.254994627
6.99,3.5267,0.784439636,-0.289669434
7,0,0.751939615,-0.263709675
7.01,3.5267,0.717068365,-0.137318132
7.02,5.7063,0.704386667,0.038361296
7.03,5.7063,0.717056629,0.189253957
